package,owner,category,sub_category
BackpropNeuralNet,compressed,AI,Machine Learning
BayesianNonparametrics,OFAI,AI,Machine Learning
BNMF,r9y9,AI,Machine Learning
ConfidenceWeighted,chezou,AI,Machine Learning
Contingency,svs14,AI,Machine Learning
Clustering,JuliaStats,AI,Machine Learning
DAI,binarybana,AI,Machine Learning
DecisionTree,bensadeghi,AI,Machine Learning
DecisionTrees,MikeInnes,AI,Machine Learning
Discretizers,sisl,AI,Machine Learning
EGR,stefanks,AI,Machine Learning
ELM,lepisma,AI,Machine Learning
EmpiricalRiskMinimization,reesepathak,AI,Machine Learning
FeatureSelection,Evizero,AI,Machine Learning
Flimsy,thomlake,AI,Machine Learning
FunctionalDataUtils,rened,AI,Machine Learning
go,dmrd,AI,Machine Learning
GradientBoost,svs14,AI,Machine Learning
GLMNet,JuliaStats,AI,Machine Learning
HopfieldNets,johnmyleswhite,AI,Machine Learning
HSIC,trappmartin,AI,Machine Learning
JuML,Statfactory,AI,Machine Learning
KaggleDigitRecognizer,benhamner,AI,Machine Learning
KDTrees,KristofferC,AI,Machine Learning
Keras,ayush1999,AI,Machine Learning
Kernels,trthatcher,AI,Machine Learning
Knet,denizyuret,AI,Machine Learning
kNN,johnmyleswhite,AI,Machine Learning
Ladder,mrtzh,AI,Machine Learning
Learn,Rory-Finnegan,AI,Machine Learning
LearnBase,JuliaML,AI,Machine Learning
LearningStrategies,JuliaML,AI,Machine Learning
LIBLINEAR,innerlee,AI,Machine Learning
LIBSVM,JuliaML,AI,Machine Learning
LossFunctions,JuliaML,AI,Machine Learning
NMF,JuliaStats,AI,Machine Learning
MachineLearning,benhamner,AI,Machine Learning
Merlin,hshindo,AI,Machine Learning
Mitosis,mschauer,AI,Machine Learning
MLDatasets,JuliaML,AI,Machine Learning
MLLabelUtils,JuliaML,AI,Machine Learning
MLKernels,trthatcher,AI,Machine Learning
MochaTheano,benmoran,AI,Machine Learning
MXNet,dmlc,AI,Machine Learning
NetworkLearning,zgornel,AI,Machine Learning
Ollam,mit-nlp,AI,Machine Learning
OnlineAI,tbreloff,AI,Machine Learning
Orchestra,svs14,AI,Machine Learning
ParticleFilters,JuliaPOMDP,AI,Machine Learning
PredictMD,bcbi,AI,Machine Learning
PrivateMultiplicativeWeights,mrtzh,AI,Machine Learning
ProjectiveDictionaryPairLearning,quxiaofeng,AI,Machine Learning
RegERMs,BigCrunsh,AI,Machine Learning
Salsa,RelationalAI-oss,AI,Machine Learning
ScikitLearn,cstjean,AI,Machine Learning
ScikitLearnBase,cstjean,AI,Machine Learning
SimpleML,aviks,AI,Machine Learning
SFA,makokal,AI,Machine Learning
SoftConfidenceWeighted,IshitaTakeshi,AI,Machine Learning
Strada,pcmoritz,AI,Machine Learning
SVMLightLoader,IshitaTakeshi,AI,Machine Learning
TensorFlow,malmaud,AI,Machine Learning
TheDataMustFlow,ExpandingMan,AI,Machine Learning
TSVD,JuliaLinearAlgebra,AI,Machine Learning
ValueHistories,JuliaML,AI,Machine Learning
XLATools,MikeInnes,AI,Machine Learning
DistLearn,pluskid,AI,
ML4H,johnmyleswhite,AI,
AdaGram,sbos,AI,NLP
BKTrees,JuliaNeighbors,AI,NLP
ConceptnetNumberbatch,zgornel,AI,NLP
CorpusLoaders,JuliaText,AI,NLP
DependencyTrees,dellison,AI,NLP
DPL,quxiaofeng,AI,NLP
GloVe,domluna,AI,NLP
Glowe,zgornel,AI,NLP
GoodTuring,JoFrhwld,AI,NLP
JuliaParser,jakebolewski,AI,NLP
KUparser,denizyuret,AI,NLP
Languages,JuliaText,AI,NLP
Levenshtein,rawrgrr,AI,NLP
LTSV,kshramt,AI,NLP
MeCab,chezou,AI,NLP
NGram,remusao,AI,NLP
ParserCombinator,andrewcooke,AI,NLP
Parsimonious,gitfoxi,AI,NLP
PEGParser,abeschneider,AI,NLP
PyLexYacc,iamed2,AI,NLP
SimpleParser,ordovician,AI,NLP
Stemmers,tanmaykm,AI,NLP
StringAnalysis,zgornel,AI,NLP
Sumup,remusao,AI,NLP
Treekenize,o-jasper,AI,NLP
Text,mit-nlp,AI,NLP
TextAnalysis,JuliaText,AI,NLP
TopicModels,slycoder,AI,NLP
TOML,JuliaLang,AI,NLP
Word2Vec,JuliaText,AI,NLP
WordNet,JuliaText,AI,NLP
EnglishText,TotalVerb,AI,English
Why,TorkelE,AI,English
FiniteStateMachine,tinybike,AI,Finite Automata
MeCab,chezou,AI,Japanese
DeepQLearning,JuliaPOMDP,AI,Reinforcement Learning
Flux,FluxML,AI,Reinforcement Learning
MelGeneralizedCepstrums,r9y9,AI,Speech Recognition
MFCC,JuliaDSP,AI,Speech Recognition
SpeechBase,r9y9,AI,Speech Recognition
SPTK,r9y9,AI,Speech Recognition
SynthesisFilters,r9y9,AI,Speech Recognition
WORLD,r9y9,AI,Speech Recognition
GURLS,joehuchette,AI,Supervised Learning
SupervisedLearning,Evizero,AI,Supervised Learning
Mocha,pluskid,AI,Unsupervised Learning
ANN,EricChiang,AI,Neural Networks
Boltzmann,dfdx,AI,Neural Networks
FANN,gasagna,AI,Neural Networks
KnetOnnx,egeersu,AI,Neural Networks
MultiLabelNeuralNetwork,jperla,AI,Neural Networks
neural,compressed,AI,Neural Networks
NeuralNets,anj1,AI,Neural Networks
